0,.hack//Roots,26,"Aventura, Drama, Fantasia, Ficção Científica, Jogos",2006,"6,9",https://www.anroll.net/a/uyOZbtIfTW
1,.hack//Sign,28,"Aventura, Drama, Fantasia, Ficção Científica, Jogos, Magia",2002,"7,0",https://www.anroll.net/a/rodCYB91VP
2,07 Ghost,25,"Ação, Demônios, Fantasia, Josei, Magia, Militar",2009,"7,2",https://www.anroll.net/a/smus7t3rEV
3,100-man no Inochi no Ue ni Ore wa Tatteiru,12,"Ação, Drama, Fantasia, Jogos, Shounen",2020,"6,5",https://www.anroll.net/a/bqzdBH32hx
4,100-man no Inochi no Ue ni Ore wa Tatteiru (Dublado),0,"Ação, Drama, Fantasia, Jogos, Shounen",2020,"6,5",https://www.anroll.net/a/YfEWQBrOMl
5,100-man no Inochi no Ue ni Ore wa Tatteiru 2,12,"Ação, Drama, Fantasia, Jogos, Shounen",2021,"6,8",https://www.anroll.net/a/gpkDlpbnFE
6,11 Eyes,12,"Ação, Ecchi, Sobrenatural, Super Poderes",2009,"6,1",https://www.anroll.net/a/R3efGvmWg0
7,16bit Sensation: Another Layer,13,Comédia,2023,??,https://www.anroll.net/a/mBe50uYwZQ
8,18if,13,"Mistério, Sobrenatural",2017,"6,2",https://www.anroll.net/a/8NNi0K0teG
9,2.43: Seiin Koukou Danshi Volley-bu,12,"Drama, Escola, Esportes, Slice of Life",2021,"6,2",https://www.anroll.net/a/2ioFEAAupD
10,22/7 (Nanabun No Nijyuuni),12,Música,2020,"6,8",https://www.anroll.net/a/7nk193Xc4H
11,3-gatsu no Lion,44,"Drama, Jogos, Seinen, Slice of Life",2016,"8,4",https://www.anroll.net/a/DNLvKBjNVk
12,30-sai made Doutei dato Mahoutsukai ni Nareru Rashii,12,"Comédia, Sobrenatural, Yaoi",2024,??,https://www.anroll.net/a/3rVzxMYtqs
13,3D Kanojo: Real Girl,12,"Escola, Romance, Shoujo",2018,"6,8",https://www.anroll.net/a/u8scquavNr
14,3D Kanojo: Real Girl - 2ª Temporada,12,"Escola, Romance, Shoujo",2019,"6,8",https://www.anroll.net/a/O6XYvnr5Gf
15,4-nin wa Sorezore Uso wo Tsuku,11,Comédia,2022,??,https://www.anroll.net/a/5IpcEyegSH
16,5-toubun no Hanayome (The Quintessential Quintuplets),12,"Comédia, Escola, Harém, Romance, Shounen",2019,"8,2",https://www.anroll.net/a/ZBm6pJwl66
17,5-toubun no Hanayome ∬ (The Quintessential Quintuplets 2),12,"Comédia, Escola, Harém, Romance, Shounen",2021,"8,2",https://www.anroll.net/a/AnyknSVxkl
18,86 (Eighty Six),11,"Ação, Drama, Ficção Científica, Militar, Robôs Gigantes",2021,"8,6",https://www.anroll.net/a/UEM5t80Qlv
19,86 (Eighty Six) - 2,13,"Ação, Drama, Ficção Científica",2021,"8,6",https://www.anroll.net/a/sJrMjjYy2j
20,91 Days,14,"Ação, Drama, Histórico",2016,"7,8",https://www.anroll.net/a/O67cmnWu11
21,A Channel,12,"Comédia, Escola, Seinen, Slice of Life",2011,"7,0",https://www.anroll.net/a/Mc9LBoznQ6
22,A3! Season Autumn & Winter,12,"Drama, Slice of Life",2020,"7,3",https://www.anroll.net/a/L157u0Ih2S
23,A3! Season Spring & Summer,12,Música,2020,"7,2",https://www.anroll.net/a/sT5dpe60dz
24,Abarenbou Rikishi! Matsutarou,23,"Esportes, Seinen",2014,"6,1",https://www.anroll.net/a/7rIfcPX6TX
25,Abenobashi Mahou Shouten,13,,730,??,https://www.anroll.net/a/ZzWaCWixUq
26,Absolute Duo,12,"Ação, Ecchi, Escola, Harém, Romance, Sobrenatural",2015,"6,5",https://www.anroll.net/a/ik8zY0eTkm
27,ACCA: 13-ku Kansatsu-ka,12,"Drama, Fantasia, Mistério, Policial, Seinen",2017,"7,7",https://www.anroll.net/a/xf18VvMmqo
28,Accel World,24,"Ação, Escola, Ficção Científica, Jogos, Romance",2012,"7,3",https://www.anroll.net/a/ZrBDsYYHMc
29,Active Raid,12,"Comédia, Ficção Científica, Policial, Robôs Gigantes",2016,"5,9",https://www.anroll.net/a/tBx6JPrQ5z
30,Active Raid 2,12,"Comédia, Ficção Científica, Policial, Robôs Gigantes",2016,"5,9",https://www.anroll.net/a/OlI0T3CrGb
31,Actors: Songs Connection,12,"Escola, Música",2019,"6,3",https://www.anroll.net/a/6pDcXmDpCN
32,Adachi to Shimamura,12,"Escola, Romance, Shoujo, Shoujo Ai, Slice of Life",2020,"7,1",https://www.anroll.net/a/QHZGq1xml1
33,Afro Samurai,5,"Ação, Aventura, Samurai",2007,"7,4",https://www.anroll.net/a/crwfaZiewy
